Gene	AveExpr	logFC	P.Value	adj.P.Val	Sig	GeneType
ENSG00000283005	CDC27P3	0.48	-0.81	2.03e-17	1.42e-14	TRUE	processed_pseudogene
ENSG00000259162	AL355075.5	0.37	-0.75	2.23e-17	1.5e-14	TRUE	transcribed_unprocessed_pseudogene
ENSG00000114107	CEP70	2.22	-1.41	2.34e-17	1.5e-14	TRUE	protein_coding
ENSG00000216937	CCDC7	4.02	-1.34	2.39e-17	1.5e-14	TRUE	protein_coding
ENSG00000116668	SWT1	4.91	-1.91	2.52e-17	1.5e-14	TRUE	protein_coding
ENSG00000166736	HTR3A	0.1	-0.27	2.52e-17	1.5e-14	FALSE	protein_coding
ENSG00000273348	AC027449.1	0.3	-0.58	2.53e-17	1.5e-14	FALSE	lncRNA
ENSG00000158488	CD1E	0.25	-0.66	3.14e-17	1.78e-14	TRUE	protein_coding
ENSG00000249667	LINC01259	0.77	-1.08	3.16e-17	1.78e-14	TRUE	lncRNA
ENSG00000171863	RPS7	6.59	-1.27	3.55e-17	1.95e-14	TRUE	protein_coding
ENSG00000058091	CDK14	5.39	1.41	3.67e-17	1.97e-14	TRUE	protein_coding
ENSG00000198918	RPL39	5.32	-1.65	3.85e-17	1.99e-14	TRUE	protein_coding
ENSG00000087301	TXNDC16	3.83	-1.51	3.88e-17	1.99e-14	TRUE	protein_coding
ENSG00000158089	GALNT14	4.44	3.13	4.12e-17	2.07e-14	TRUE	protein_coding
ENSG00000172262	ZNF131	4.83	-0.61	4.76e-17	2.33e-14	TRUE	protein_coding
ENSG00000166707	ZCCHC18	0.87	-0.95	4.96e-17	2.38e-14	TRUE	protein_coding
ENSG00000135636	DYSF	10.46	2.28	5.08e-17	2.39e-14	TRUE	protein_coding
ENSG00000123106	CCDC91	4.36	-1.1	6.35e-17	2.93e-14	TRUE	protein_coding
ENSG00000111249	CUX2	0.72	-1.16	7.23e-17	3.23e-14	TRUE	protein_coding
ENSG00000197353	LYPD2	0.36	-1.25	7.28e-17	3.23e-14	TRUE	protein_coding
ENSG00000054523	KIF1B	7.7	1.89	8.86e-17	3.85e-14	TRUE	protein_coding
ENSG00000234741	GAS5	4.22	-1.17	9.11e-17	3.89e-14	TRUE	lncRNA
ENSG00000064601	CTSA	8.13	1.46	9.32e-17	3.91e-14	TRUE	protein_coding
ENSG00000113916	BCL6	9.72	2.32	1e-16	4.13e-14	TRUE	protein_coding
ENSG00000109475	RPL34	6.53	-1.48	1.23e-16	4.93e-14	TRUE	protein_coding
ENSG00000118113	MMP8	5.67	5.44	1.25e-16	4.93e-14	TRUE	protein_coding
ENSG00000163220	S100A9	12.19	2.04	1.26e-16	4.93e-14	TRUE	protein_coding
ENSG00000197063	MAFG	6.19	1.45	1.51e-16	5.72e-14	TRUE	protein_coding
ENSG00000261327	AC134312.5	0.1	-0.38	1.51e-16	5.72e-14	FALSE	lncRNA
ENSG00000226321	CROCC2	0.29	-0.72	2.12e-16	7.9e-14	TRUE	protein_coding
ENSG00000114923	SLC4A3	0.59	-0.94	3.49e-16	1.28e-13	TRUE	protein_coding
ENSG00000110318	CEP126	1.39	-1.15	3.77e-16	1.36e-13	TRUE	protein_coding
ENSG00000186017	ZNF566	2.46	-1.32	4.56e-16	1.62e-13	TRUE	protein_coding
ENSG00000161249	DMKN	0.31	-0.54	5.19e-16	1.81e-13	FALSE	protein_coding
ENSG00000239961	LILRA4	1.18	-1.75	6.08e-16	2.09e-13	TRUE	protein_coding
ENSG00000235174	RPL39P3	0.52	-0.59	6.26e-16	2.12e-13	TRUE	processed_pseudogene
ENSG00000285557	AC069410.1	1.13	-1.73	8.01e-16	2.68e-13	TRUE	lncRNA
ENSG00000150477	KIAA1328	2.54	-1.01	8.3e-16	2.74e-13	TRUE	protein_coding
ENSG00000183019	MCEMP1	6.39	2.88	8.49e-16	2.76e-13	TRUE	protein_coding
ENSG00000286640	AC093151.5	0.52	-0.96	9.08e-16	2.91e-13	TRUE	transcribed_unprocessed_pseudogene
ENSG00000149571	KIRREL3	0.12	-0.38	9.29e-16	2.93e-13	FALSE	protein_coding
ENSG00000170837	GPR27	4.95	1.75	9.47e-16	2.95e-13	TRUE	protein_coding
ENSG00000137154	RPS6	7.89	-1.47	1.09e-15	3.36e-13	TRUE	protein_coding
ENSG00000171858	RPS21	4.75	-1.47	1.13e-15	3.44e-13	TRUE	protein_coding
ENSG00000150337	FCGR1A	5.84	2.9	1.43e-15	4.28e-13	TRUE	protein_coding
ENSG00000175063	UBE2C	2.56	1.58	1.54e-15	4.54e-13	TRUE	protein_coding
ENSG00000117984	CTSD	8.2	1.5	1.56e-15	4.55e-13	TRUE	protein_coding
ENSG00000179639	FCER1A	2.19	-2.55	1.65e-15	4.7e-13	TRUE	protein_coding
ENSG00000025039	RRAGD	5.41	1.25	1.65e-15	4.7e-13	TRUE	protein_coding
ENSG00000220842	RPL21P16	1.27	-1.09	1.78e-15	4.96e-13	TRUE	processed_pseudogene
ENSG00000227063	RPL41P1	3.17	-1.24	1.79e-15	4.96e-13	TRUE	processed_pseudogene
ENSG00000164587	RPS14	8.04	-1.46	1.89e-15	5.2e-13	TRUE	protein_coding
ENSG00000157445	CACNA2D3	1.09	-1.88	1.92e-15	5.2e-13	TRUE	protein_coding
ENSG00000254470	AP5B1	9.03	1.7	2.02e-15	5.41e-13	TRUE	protein_coding
ENSG00000162630	B3GALT2	0.57	-1.04	2.05e-15	5.44e-13	TRUE	protein_coding
ENSG00000186205	MTARC1	5.7	1.9	2.08e-15	5.44e-13	TRUE	protein_coding
ENSG00000128918	ALDH1A2	3.62	2.7	2.13e-15	5.51e-13	TRUE	protein_coding
ENSG00000163932	PRKCD	8.4	1.19	2.42e-15	6.19e-13	TRUE	protein_coding
ENSG00000180316	PNPLA1	3.65	1.72	2.61e-15	6.59e-13	TRUE	protein_coding
ENSG00000102057	KCND1	3.27	1.91	2.63e-15	6.59e-13	TRUE	protein_coding
ENSG00000119714	GPR68	2.51	-1.83	2.69e-15	6.67e-13	TRUE	protein_coding
ENSG00000100985	MMP9	9.1	3.36	2.77e-15	6.79e-13	TRUE	protein_coding
ENSG00000159339	PADI4	8.05	1.84	2.84e-15	6.89e-13	TRUE	protein_coding
ENSG00000124224	PPP4R1L	5.49	1.38	2.99e-15	7.19e-13	TRUE	transcribed_unprocessed_pseudogene
ENSG00000172965	MIR4435-2HG	6.56	1.38	3.48e-15	8.27e-13	TRUE	lncRNA
ENSG00000169896	ITGAM	9.7	1.55	3.93e-15	9.25e-13	TRUE	protein_coding
ENSG00000168615	ADAM9	5.72	1.43	3.98e-15	9.26e-13	TRUE	protein_coding
ENSG00000157551	KCNJ15	8.61	2.09	4.18e-15	9.57e-13	TRUE	protein_coding
ENSG00000153823	PID1	2.25	-2.59	4.19e-15	9.57e-13	TRUE	protein_coding
ENSG00000187475	H1-6	1.69	1.64	4.26e-15	9.61e-13	TRUE	protein_coding
ENSG00000102678	FGF9	0.25	-0.49	4.29e-15	9.61e-13	FALSE	protein_coding
ENSG00000102174	PHEX	0.76	-0.91	4.56e-15	1.01e-12	TRUE	protein_coding
ENSG00000180376	CCDC66	4.17	-1.18	5.3e-15	1.16e-12	TRUE	protein_coding
ENSG00000170909	OSCAR	6.8	1.6	5.39e-15	1.16e-12	TRUE	protein_coding
ENSG00000101425	BPI	5.1	3.74	5.39e-15	1.16e-12	TRUE	protein_coding
ENSG00000112290	WASF1	2.27	1.7	6.55e-15	1.4e-12	TRUE	protein_coding
ENSG00000142627	EPHA2	0.51	-1.1	6.79e-15	1.44e-12	TRUE	protein_coding
ENSG00000257743	MGAM2	5.57	3.01	7.25e-15	1.52e-12	TRUE	protein_coding
ENSG00000139537	CCDC65	1.4	-1.33	7.63e-15	1.58e-12	TRUE	protein_coding
ENSG00000224631	RPS27AP16	0.88	-0.69	7.66e-15	1.58e-12	TRUE	transcribed_processed_pseudogene
ENSG00000165795	NDRG2	2.06	-1.34	8.54e-15	1.74e-12	TRUE	protein_coding
ENSG00000213903	LTB4R	7.01	1.35	9.02e-15	1.82e-12	TRUE	protein_coding
ENSG00000158470	B4GALT5	8.09	1.81	9.51e-15	1.9e-12	TRUE	protein_coding
ENSG00000128594	LRRC4	6.46	1.6	9.56e-15	1.9e-12	TRUE	protein_coding
ENSG00000271304	DPRXP2	1.41	1.45	1.04e-14	2.06e-12	TRUE	transcribed_processed_pseudogene
ENSG00000118507	AKAP7	3.46	-1.73	1.11e-14	2.17e-12	TRUE	protein_coding
ENSG00000164047	CAMP	4.62	3.19	1.16e-14	2.26e-12	TRUE	protein_coding
ENSG00000198833	UBE2J1	7.51	1.53	1.2e-14	2.3e-12	TRUE	protein_coding
ENSG00000265666	RARA-AS1	3.79	1.76	1.26e-14	2.4e-12	TRUE	lncRNA
ENSG00000139714	MORN3	1.32	-1.1	1.29e-14	2.44e-12	TRUE	protein_coding
ENSG00000121316	PLBD1	7.89	1.66	1.31e-14	2.45e-12	TRUE	protein_coding
ENSG00000148926	ADM	6.39	2.2	1.32e-14	2.45e-12	TRUE	protein_coding
ENSG00000187240	DYNC2H1	1.97	-1.23	1.44e-14	2.65e-12	TRUE	protein_coding
ENSG00000168778	TCTN2	1.38	-0.98	1.76e-14	3.23e-12	TRUE	protein_coding
ENSG00000159713	TPPP3	1.49	-1.93	1.81e-14	3.28e-12	TRUE	protein_coding
ENSG00000196358	NTNG2	7.28	2.31	1.95e-14	3.52e-12	TRUE	protein_coding
ENSG00000167434	CA4	5.22	2.42	1.99e-14	3.55e-12	TRUE	protein_coding
ENSG00000012223	LTF	7.68	5.02	2.09e-14	3.71e-12	TRUE	protein_coding
ENSG00000204936	CD177	6.57	5.54	2.18e-14	3.84e-12	TRUE	protein_coding
ENSG00000145491	ROPN1L	4.62	1.73	2.25e-14	3.93e-12	TRUE	protein_coding
ENSG00000125510	OPRL1	5.36	1.46	2.29e-14	3.97e-12	TRUE	protein_coding
ENSG00000163682	RPL9	7.12	-1.5	2.34e-14	4.03e-12	TRUE	protein_coding
ENSG00000112306	RPS12	6.55	-1.65	2.59e-14	4.43e-12	TRUE	protein_coding
ENSG00000127564	PKMYT1	2.48	2.13	2.62e-14	4.44e-12	TRUE	protein_coding
ENSG00000175928	LRRN1	3.8	2.35	2.72e-14	4.57e-12	TRUE	protein_coding
ENSG00000109686	SH3D19	0.21	-0.4	2.74e-14	4.57e-12	FALSE	protein_coding
ENSG00000188786	MTF1	7.25	1.41	2.78e-14	4.62e-12	TRUE	protein_coding
ENSG00000178053	MLF1	0.32	-0.47	2.83e-14	4.66e-12	FALSE	protein_coding
ENSG00000143546	S100A8	11.7	2.1	2.89e-14	4.73e-12	TRUE	protein_coding
ENSG00000225648	SBDSP1	2.74	-0.93	3.04e-14	4.94e-12	TRUE	transcribed_unprocessed_pseudogene
ENSG00000159708	LRRC36	0.11	-0.32	3.12e-14	5.03e-12	FALSE	protein_coding
ENSG00000172995	ARPP21	0.09	-0.29	3.19e-14	5.11e-12	FALSE	protein_coding
ENSG00000203710	CR1	8.97	2.13	3.26e-14	5.19e-12	TRUE	protein_coding
ENSG00000169884	WNT10B	1.11	-0.98	3.33e-14	5.27e-12	TRUE	protein_coding
ENSG00000111796	KLRB1	2.96	-2.13	3.43e-14	5.38e-12	TRUE	protein_coding
ENSG00000183762	KREMEN1	7.24	2.73	3.66e-14	5.68e-12	TRUE	protein_coding
ENSG00000266998	AC111182.1	1.02	-0.92	3.67e-14	5.68e-12	TRUE	lncRNA
ENSG00000197776	KLHDC1	1.78	-0.95	3.71e-14	5.71e-12	TRUE	protein_coding
ENSG00000144290	SLC4A10	1.24	-2.01	3.99e-14	6.09e-12	TRUE	protein_coding
ENSG00000198093	ZNF649	2.37	-0.89	4.37e-14	6.64e-12	TRUE	protein_coding
ENSG00000286010	AC108925.1	1.05	-1.57	4.43e-14	6.68e-12	TRUE	lncRNA
ENSG00000275772	AC244157.2	0.24	-0.47	4.5e-14	6.69e-12	FALSE	processed_pseudogene
ENSG00000197702	PARVA	0.26	-0.44	4.5e-14	6.69e-12	FALSE	protein_coding
ENSG00000263266	RPS7P1	0.87	-0.64	4.57e-14	6.76e-12	TRUE	processed_pseudogene
ENSG00000094804	CDC6	2.5	2.1	4.69e-14	6.9e-12	TRUE	protein_coding
ENSG00000273133	AC116651.1	2.8	1.96	5.06e-14	7.35e-12	TRUE	lncRNA
ENSG00000213949	ITGA1	3.3	1.58	5.06e-14	7.35e-12	TRUE	protein_coding
ENSG00000008438	PGLYRP1	5.58	2.51	5.15e-14	7.42e-12	TRUE	protein_coding
ENSG00000232533	AC093673.1	3.43	1.16	6.17e-14	8.84e-12	TRUE	lncRNA
ENSG00000164104	HMGB2	7.25	1.56	6.71e-14	9.56e-12	TRUE	protein_coding
ENSG00000158481	CD1C	1.86	-1.91	7.13e-14	1.01e-11	TRUE	protein_coding
ENSG00000186431	FCAR	6.75	2.11	7.18e-14	1.01e-11	TRUE	protein_coding
ENSG00000164292	RHOBTB3	3	-1.38	7.68e-14	1.07e-11	TRUE	protein_coding
ENSG00000249096	LINC02362	4.26	1.85	7.94e-14	1.1e-11	TRUE	lncRNA
ENSG00000187554	TLR5	6.4	2.1	8.46e-14	1.17e-11	TRUE	protein_coding
ENSG00000001631	KRIT1	3.23	-0.76	8.6e-14	1.18e-11	TRUE	protein_coding
ENSG00000143947	RPS27A	6.88	-1.26	9.06e-14	1.24e-11	TRUE	protein_coding
ENSG00000259436	AC010247.2	1.1	-0.91	9.83e-14	1.33e-11	TRUE	lncRNA
ENSG00000108950	FAM20A	3.44	3.15	9.91e-14	1.34e-11	TRUE	protein_coding
ENSG00000144476	ACKR3	1.43	-0.98	9.96e-14	1.34e-11	TRUE	protein_coding
ENSG00000130856	ZNF236	5.13	-0.46	1e-13	1.34e-11	FALSE	protein_coding
ENSG00000008988	RPS20	6.88	-1.26	1.04e-13	1.37e-11	TRUE	protein_coding
ENSG00000105926	MPP6	3.98	-1.43	1.07e-13	1.41e-11	TRUE	protein_coding
ENSG00000075420	FNDC3B	7.92	1.32	1.11e-13	1.45e-11	TRUE	protein_coding
ENSG00000140563	MCTP2	8.47	1.71	1.13e-13	1.47e-11	TRUE	protein_coding
ENSG00000224950	AL390066.2	3.84	1.73	1.24e-13	1.6e-11	TRUE	lncRNA
ENSG00000249138	AC084871.1	4.68	2.39	1.28e-13	1.64e-11	TRUE	transcribed_processed_pseudogene
ENSG00000166428	PLD4	2.91	-2.13	1.35e-13	1.73e-11	TRUE	protein_coding
ENSG00000030582	GRN	9.77	1.34	1.37e-13	1.75e-11	TRUE	protein_coding
ENSG00000103196	CRISPLD2	8.21	1.92	1.38e-13	1.75e-11	TRUE	protein_coding
ENSG00000196569	LAMA2	0.79	-0.85	1.43e-13	1.8e-11	TRUE	protein_coding
ENSG00000225614	ZNF469	2.34	-1.39	1.57e-13	1.97e-11	TRUE	protein_coding
ENSG00000107745	MICU1	6.06	0.84	1.67e-13	2.08e-11	TRUE	protein_coding
ENSG00000272941	AC083862.1	4.99	1.63	1.68e-13	2.08e-11	TRUE	lncRNA
ENSG00000262655	SPON1	0.74	-0.99	1.7e-13	2.09e-11	TRUE	protein_coding
ENSG00000118564	FBXL5	8.85	1.24	1.76e-13	2.16e-11	TRUE	protein_coding
ENSG00000105355	PLIN3	7.05	1.3	1.83e-13	2.24e-11	TRUE	protein_coding
ENSG00000162545	CAMK2N1	0.5	-0.71	1.85e-13	2.25e-11	TRUE	protein_coding
ENSG00000136048	DRAM1	5.13	1.43	1.88e-13	2.27e-11	TRUE	protein_coding
ENSG00000225079	FTH1P22	0.83	-1.26	1.94e-13	2.33e-11	TRUE	processed_pseudogene
ENSG00000142657	PGD	8.98	1.52	2.07e-13	2.47e-11	TRUE	protein_coding
ENSG00000141448	GATA6	0.17	-0.42	2.08e-13	2.47e-11	FALSE	protein_coding
ENSG00000231500	RPS18	7.69	-1.52	2.09e-13	2.47e-11	TRUE	protein_coding
ENSG00000161381	PLXDC1	2.05	-1.61	2.11e-13	2.48e-11	TRUE	protein_coding
ENSG00000102010	BMX	4.12	2.22	2.18e-13	2.56e-11	TRUE	protein_coding
ENSG00000164713	BRI3	6.77	1.14	2.2e-13	2.56e-11	TRUE	protein_coding
ENSG00000247287	AL359220.1	1.48	-1.11	2.22e-13	2.57e-11	TRUE	lncRNA
ENSG00000169918	OTUD7A	1.15	-1.04	2.29e-13	2.65e-11	TRUE	protein_coding
ENSG00000240954	RPL4P1	0.35	-0.52	2.35e-13	2.69e-11	FALSE	processed_pseudogene
ENSG00000177628	GBA	5.88	1.21	2.46e-13	2.81e-11	TRUE	protein_coding
ENSG00000275888	AC132872.3	2.49	1.66	2.51e-13	2.85e-11	TRUE	lncRNA
ENSG00000213741	RPS29	4.83	-1.26	2.55e-13	2.89e-11	TRUE	protein_coding
ENSG00000066336	SPI1	9.16	1.42	2.61e-13	2.94e-11	TRUE	protein_coding
ENSG00000274210	RNVU1-27	0.38	-0.5	2.74e-13	3.07e-11	FALSE	snRNA
ENSG00000198088	NUP62CL	0.45	-0.59	2.81e-13	3.13e-11	TRUE	protein_coding
ENSG00000151575	TEX9	1.77	-1.3	3.05e-13	3.38e-11	TRUE	protein_coding
ENSG00000206077	ZDHHC11B	0.53	-0.87	3.3e-13	3.63e-11	TRUE	protein_coding
ENSG00000174099	MSRB3	3.75	1.53	3.31e-13	3.63e-11	TRUE	protein_coding
ENSG00000126016	AMOT	1.76	-1.32	3.32e-13	3.63e-11	TRUE	protein_coding
ENSG00000116793	PHTF1	5.28	1.44	3.45e-13	3.75e-11	TRUE	protein_coding
ENSG00000196189	SEMA4A	8.14	1.4	3.51e-13	3.8e-11	TRUE	protein_coding
ENSG00000107282	APBA1	0.71	-0.91	3.62e-13	3.9e-11	TRUE	protein_coding
ENSG00000177674	AGTRAP	7.18	1.26	3.71e-13	3.98e-11	TRUE	protein_coding
ENSG00000260386	LDC1P	0.16	-0.4	3.82e-13	4.08e-11	FALSE	transcribed_unitary_pseudogene
ENSG00000059804	SLC2A3	9.41	1.79	3.87e-13	4.11e-11	TRUE	protein_coding
ENSG00000072736	NFATC3	6.97	-0.61	3.96e-13	4.19e-11	TRUE	protein_coding
ENSG00000068024	HDAC4	8.07	1.34	4.08e-13	4.3e-11	TRUE	protein_coding
ENSG00000279483	AC090498.1	1.73	-1.26	4.13e-13	4.33e-11	TRUE	processed_pseudogene
ENSG00000079385	CEACAM1	6.26	2.77	4.17e-13	4.35e-11	TRUE	protein_coding
ENSG00000217275	AL031777.1	2.08	1.81	4.25e-13	4.41e-11	TRUE	processed_pseudogene
ENSG00000111261	MANSC1	5.98	1.8	4.32e-13	4.47e-11	TRUE	protein_coding
ENSG00000198216	CACNA1E	4.96	2.59	4.42e-13	4.55e-11	TRUE	protein_coding
ENSG00000121060	TRIM25	9.09	1.62	4.47e-13	4.58e-11	TRUE	protein_coding
ENSG00000089505	CMTM1	4.82	1.48	4.61e-13	4.7e-11	TRUE	protein_coding
ENSG00000115828	QPCT	6.62	1.63	4.68e-13	4.75e-11	TRUE	protein_coding
ENSG00000234129	AC073529.1	0.93	-0.94	4.75e-13	4.8e-11	TRUE	lncRNA
ENSG00000151726	ACSL1	10.57	2	4.8e-13	4.82e-11	TRUE	protein_coding
ENSG00000133812	SBF2	6.86	1.19	4.81e-13	4.82e-11	TRUE	protein_coding
ENSG00000182541	LIMK2	9.12	1.89	5.27e-13	5.26e-11	TRUE	protein_coding
ENSG00000136026	CKAP4	7.49	1.9	5.37e-13	5.34e-11	TRUE	protein_coding
ENSG00000228794	LINC01128	3.44	-1.12	5.6e-13	5.55e-11	TRUE	lncRNA
ENSG00000124469	CEACAM8	4.15	4.19	5.77e-13	5.69e-11	TRUE	protein_coding
ENSG00000109743	BST1	6.96	1.31	5.86e-13	5.73e-11	TRUE	protein_coding
ENSG00000184557	SOCS3	7.17	2.43	5.87e-13	5.73e-11	TRUE	protein_coding
ENSG00000171848	RRM2	4.12	3.03	5.9e-13	5.75e-11	TRUE	protein_coding
ENSG00000213347	MXD3	6.1	1.56	6.51e-13	6.3e-11	TRUE	protein_coding
ENSG00000096872	IFT74	2.12	-0.98	6.55e-13	6.32e-11	TRUE	protein_coding
ENSG00000232472	EEF1B2P3	0.57	-0.53	6.9e-13	6.63e-11	FALSE	processed_pseudogene
ENSG00000174021	GNG5	3.71	1.11	6.95e-13	6.65e-11	TRUE	protein_coding
ENSG00000257923	CUX1	7.91	1.05	7.05e-13	6.72e-11	TRUE	protein_coding
ENSG00000203812	H2AC18	2.8	0.93	7.56e-13	7.17e-11	TRUE	protein_coding
ENSG00000181789	COPG1	6.94	0.6	7.81e-13	7.38e-11	TRUE	protein_coding
ENSG00000169239	CA5B	4.11	-1.09	7.93e-13	7.47e-11	TRUE	protein_coding
ENSG00000125084	WNT1	0.45	-0.6	8e-13	7.5e-11	TRUE	protein_coding
ENSG00000272282	LINC02084	1.08	-1.21	8.19e-13	7.64e-11	TRUE	lncRNA
ENSG00000172671	ZFAND4	4.05	-1.08	8.32e-13	7.73e-11	TRUE	protein_coding
ENSG00000178429	RPS3AP5	0.15	-0.27	8.61e-13	7.98e-11	FALSE	processed_pseudogene
ENSG00000169385	RNASE2	4.36	2.38	8.66e-13	7.99e-11	TRUE	protein_coding
ENSG00000091129	NRCAM	0.57	-1.06	9.23e-13	8.48e-11	TRUE	protein_coding
ENSG00000198019	FCGR1B	5.8	2.36	9.78e-13	8.94e-11	TRUE	protein_coding
ENSG00000273247	AC097376.3	4.45	1.41	9.81e-13	8.94e-11	TRUE	lncRNA
ENSG00000135334	AKIRIN2	6.39	0.98	9.87e-13	8.96e-11	TRUE	protein_coding
ENSG00000101412	E2F1	3.52	2.27	9.93e-13	8.98e-11	TRUE	protein_coding
ENSG00000183780	SLC35F3	0.37	-0.7	1.01e-12	9.09e-11	TRUE	protein_coding
ENSG00000280407	AC132872.4	2.75	1.77	1.01e-12	9.09e-11	TRUE	TEC
ENSG00000109943	CRTAM	1.84	-1.45	1.12e-12	9.98e-11	TRUE	protein_coding
ENSG00000274641	H2BC17	3.78	2.38	1.2e-12	1.07e-10	TRUE	protein_coding
ENSG00000279908	AC026748.1	0.57	-0.57	1.28e-12	1.13e-10	FALSE	TEC
ENSG00000143889	HNRNPLL	5.44	1.01	1.29e-12	1.14e-10	TRUE	protein_coding
ENSG00000142089	IFITM3	7.89	3.44	1.32e-12	1.16e-10	TRUE	protein_coding
ENSG00000283602	AC116353.6	4.15	2.02	1.43e-12	1.25e-10	TRUE	transcribed_unitary_pseudogene
ENSG00000155974	GRIP1	0.5	-0.68	1.44e-12	1.25e-10	TRUE	protein_coding
ENSG00000246016	LINC01513	1.91	1.34	1.45e-12	1.25e-10	TRUE	lncRNA
ENSG00000079393	DUSP13	1.78	1.94	1.45e-12	1.25e-10	TRUE	protein_coding
ENSG00000067225	PKM	9.57	1.13	1.48e-12	1.28e-10	TRUE	protein_coding
ENSG00000148450	MSRB2	3.91	1.21	1.59e-12	1.37e-10	TRUE	protein_coding
ENSG00000036530	CYP46A1	0.19	-0.35	1.61e-12	1.38e-10	FALSE	protein_coding
ENSG00000134571	MYBPC3	5.31	2.11	1.62e-12	1.38e-10	TRUE	protein_coding
ENSG00000176890	TYMS	2.97	2.57	1.65e-12	1.4e-10	TRUE	protein_coding
ENSG00000033627	ATP6V0A1	6.42	0.75	1.67e-12	1.41e-10	TRUE	protein_coding
ENSG00000160883	HK3	9.25	1.8	1.71e-12	1.44e-10	TRUE	protein_coding
ENSG00000118402	ELOVL4	0.6	-0.87	1.82e-12	1.53e-10	TRUE	protein_coding
ENSG00000101236	RNF24	9.15	1.41	1.84e-12	1.54e-10	TRUE	protein_coding
ENSG00000146592	CREB5	8.27	1.51	2.01e-12	1.68e-10	TRUE	protein_coding
ENSG00000139675	HNRNPA1L2	1.35	-0.77	2.05e-12	1.71e-10	TRUE	protein_coding
ENSG00000103005	USB1	6.83	1.29	2.08e-12	1.73e-10	TRUE	protein_coding
ENSG00000212743	LINC02656	4.07	2.31	2.09e-12	1.73e-10	TRUE	lncRNA
ENSG00000117298	ECE1	8.97	1.44	2.12e-12	1.75e-10	TRUE	protein_coding
ENSG00000035862	TIMP2	8.21	1.05	2.21e-12	1.82e-10	TRUE	protein_coding
ENSG00000071082	RPL31	7.08	-1.28	2.25e-12	1.84e-10	TRUE	protein_coding
ENSG00000096063	SRPK1	7.35	1.48	2.27e-12	1.85e-10	TRUE	protein_coding
